key;en;fr;it;ja;ko;es;pt_BR;pl;de;ru;uk;
SITE_FAQ_A4_2;Since the game will be open source, the community could port the game to other systems! We’ll encourage as many fan-ports as possible!;Le jeu sera open source, donc la communauté pourra le porter sur d’autres systèmes ! Nous encourageons toutes les initiatives de portage.;Poiché il codice del gioco sarà open source, la community potrà potrare il gioco anche su altre piattaforme! Incoraggiamo quanti più porting possibili da parte dei fan!;このゲームはオープンソースなので、コミュニティが他のシステムに移植することも可能です！ご自由に移植してください！;하지만, 오픈 소스이기 때문에 다른 플랫폼으로 이식할 수 있습니다! 자유롭게 이식하세요!;Dado que el juego será de código abierto, la comunidad podrá hacer ports a otros sistemas. ¡Animaremos a los fans a que hagan tantos como sea posible!;Já que o código do jogo será livre, a comunidade pode fazer ports do jogo para os outros sistemas! Encorajaremos o máximo possível de ports feitos por fãs!;Ponieważ gra będzie open source, społeczność może robić porty na inne systemy! Będziemy zachęcać do jak największej liczby fanowskich portów!;Da das Spiel Open Source sein wird, kann die Community das Spiel auf andere Systeme portieren! Wir werden so viele Fan-Portierungen wie möglich unterstützen!;Поскольку игра будет с открытым исходным кодом, сообщество сможет портировать её на другие системы. Мы постараемся поощрять максимально возможное количество фанатских портов!;Оскільки гра матиме відкритий код, спільнота зможе робити порти гри на інші системи! Ми заохочуватимемо створення якнайбільшої кількості фанатських портів!;
SITE_FAQ_Q5;What version of town names will you be using? (i.e. Podunk or Mother’s Day);Quelle version des noms de villes allez-vous utiliser ? (Podunk ou Mother’s Day, par exemple);Quale versione dei nomi delle cità utilizzerete (es.: Podunk oppure Mother’s Day)?;町の名前はどのバージョンを使いますか？（例：ポダンク、マザーズデイ）;마을 이름은 무엇을 사용했나요? (예: 포덩크 / 마더즈데이);¿Qué versión de los nombres de ciudades se utilizará? (por ejemplo, Podunk o Mother’s Day);Que versão dos nomes das cidades vocês estarão usando? (Por exemplo, Podunk ou Dia das Mães?);Jakiej wersji nazw miast będziecie używać? (np. Podunk czy Mother’s Day);Welche Version von Stadtnamen wird verwendet werden? (z. B. Podunk oder Mother’s Day);Какую локализацию названий городов вы будете использовать? К примеру, «Поданк» (англ.) или «День Матери» (яп.).;Яку локалізацію назв міст ви використовуватимете? Наприклад, «Поданк» (англ.) або «День Матері» (яп.).;
SITE_FAQ_A5;The Phil Sandhop Translation (Podunk).;Sur ce point, nous nous basons sur la traduction de Phil Sandhop, donc ce sera Podunk.;La traduzione di Phil Sandhop (Podunk).;日本語版は原作通り（マザーズデイ）。;원작의 일본어 명칭과 원작의 비공식 번역을 따라갔습니다. (마더즈데이);La traducción de Phil Sandhop (Podunk).;Estaremos fazendo a nossa própria adaptação baseada nos nomes em japonês (Mother's Day, Thanksgiving, etc.);Tłumaczenie Phila Sandhopa (Podunk).;Die Phil Sandhop Übersetzung. (Podunk).;Мы используем перевод Фила Сэндхопа («Поданк»).;Ми використовуємо переклад Філа Сендхопа («Поданк»).;
SITE_FAQ_Q6;How can I show my support?;Comment peut-on vous soutenir ?;Come posso supportarvi?;どうやって支援できますか？;어떻게 지원할 수 있나요?;¿Cómo puedo mostrar mi apoyo?;Como eu posso mostrar o meu apoio?;Jak mogę okazać swoje wsparcie?;Wie kann ich meine Unterstützung zeigen?;Как я могу вас поддержать?;Як я можу вас підтримати?;
SITE_FAQ_A6;We appreciate your willingness to support! You can show your support for us by spreading the word. Not too much though.;Nous apprécions votre volonté de nous soutenir ! Vous pouvez nous aider en faisant passer le message autour de vous. Mais avec modération, quand même.;Apprezziamo il tuo desiderio di supportarci! Ti saremmo grati se lo facessi diffondendo il verbo. Non troppo, però.;積極的なご支援に感謝いたします！MOTHER：ENCOREのことを他の方に広めていただけると幸いです。ただし、やりすぎにはご注意ください。;MOTHER: Encore를 주변 지인들에게 소개해 주시는 것만으로도 너무 감사드립니다! 너무 과하게는 말고요.;Apreciamos tu voluntad por apoyarnos. Puedes mostrar tu apoyo corriendo la voz. Pero no demasiado.;Nós apreciamos a sua vontade de apoiar o projeto! Você pode mostrar o seu apoio divulgando o jogo. Mas com moderação.;Doceniamy twoją chęć wsparcia! Możesz okazać nam swoje wsparcie poprzez rozpowszechnianie informacji. Ale nie za dużo.;Wir schätzen deine Bereitschaft zur Unterstützung! Du kannst Unterstützung zeigen, indem Du über uns redest. Natürlich nicht zu viel.;Мы рады, что вы хотите нас поддержать! И вы сможете это сделать, рассказав о MOTHER: Encore другим! Только не переусердствуйте.;Ми щасливі, що ви бажаєте нас підтримати! І ви зможете це зробити, розповівши про MOTHER: Encore іншим! Тільки не перестарайтеся.;
SITE_FAQ_Q7;When is the release date?;Quand est-ce que le jeu sortira ?;Qual è la data di pubblicazione?;リリース日はいつですか？;출시일은 언제인가요?;¿Cuándo saldrá el juego?;Quando o jogo será lançado?;Kiedy będzie premiera?;Wann ist der Veröffentlichungstermin?;Когда дата выхода?;Коли дата виходу?;
SITE_FAQ_A7;![IDK punchline meme starring Dumbledore](/Assets/Funny/idk.jpeg);![Image mème faite à l’arrache avec Dumbledore qui dit « Aucune idée »](/Assets/Funny/idk_fr.jpeg);🤷;さあ🤷;![몰?루](/Assets/Funny/idk_ko.jpeg);![no c xd](/Assets/Funny/idk_es.jpeg);![🤷](/Assets/Funny/idk_pt_BR.jpeg);![W sumie nie wiem](/Assets/Funny/idk_pl.jpeg);![Ich weiss es net brudi](/Assets/Funny/idk_de.jpeg);![ХЗ](/Assets/Funny/idk_ru.jpeg);![ХЗ](/Assets/Funny/idk_ru.jpeg);
SITE_FAQ_Q8;Are you worried about receiving a DMCA from Nintendo?;Vous n’avez pas peur de recevoir une demande de retrait de Nintendo ?;Siete preoccupati di poter ricevere un DMCA da parte di Nintendo?;任天堂からのDMCAを受け取る心配はありませんか？;닌텐도에 DMCA를 받을 염려는 없나요?;¿Y si Nintendo manda una orden de...?;Vocês não estão com medo de receber uma notificação DMCA da Nintendo?;Martwicie się o otrzymanie DMCA od Nintendo?;Besteht Grund zur Sorge eine Unterlassungserklärung von Nintendo zu erhalten?;Боитесь ли вы получить от Nintendo за нарушение авт. прав?;Хвилюєтеся отримати DMCA від Nintendo?;
SITE_FAQ_A8;Not really.;Pas vraiment.;Non proprio.;特にありません。;없습니다.;No estamos preocupados por ello.;Não muito.;Ani trochę.;Nicht wirklich.;Не особо.;Не дуже.;
SITE_FAQ_Q9;Will Ninten have PK [favorite thing]?;Est-ce que Ninten pourra effectuer un PK [chose favorite] ?;Ninten potrà imparare Psico[cosa preferita]?;ニンテンにはPK[カッコいいとおもうもの]はありますか？;닌텐은 PK [멋지다고 생각하는 것]을 가지나요?;¿Tendrá Ninten un PK [cosa favorita]?;Ninten terá um PK [coisa favorita]?;Czy Ninten będzie miał PK [ulubiona rzecz]?;Wird Ninten PK-[Lieblingssache] haben?;Будет ли у Нинтена «ПК-[любимая вещь]»?;Чи матиме Нінтен «ПСИ [улюблена річ]»?;
SITE_FAQ_A9;No, but he will get a different offensive ability to make up for his lack of PSI attacks. The other party members will have new abilities too, but we don’t want to spoil what they are.;Non, mais il apprendra une autre capacité offensive en compensation. Les autres membres de l’équipe possèderont également de nouvelles capacités, mais nous préférons garder la surprise.;No, ma otterrà un’altra abilità offensiva per sopperire alla sua mancanza di attacchi PSI. Anche gli altri membri della squadra impareranno nuove abilità, ma non vogliamo farvi spoiler.;ありませんが、代わりに別の攻撃系PKを獲得します。他のキャラクターも新しい能力を獲得しますが、詳細はお楽しみにしてください。;아니요, 하지만 PSI 공격의 부족을 메우기 위해 닌텐은 다른 공격 능력을 얻을 겁니다. 다른 팀원들도 기존의 모습을 망치지 않는 선에서 새로운 능력을 갖추게 될 것입니다.;No, pero tendrá otra habilidad ofensiva para compensar su falta de ataques PSI ofensivos. Los otros miembros del equipo también tendrán nuevas habilidades, pero no queremos desvelarlas.;Não, mas daremos a ele outra habilidade ofensiva para compensar sua falta de ataques PSI. Os outros membros do grupo também ganharão habilidades novas, mas não queremos dar spoilers de quais serão.;Nie, ale otrzyma inną umiejętność ofensywną, która zrekompensuje mu brak ataków PSI. Reszta członków drużyny również otrzyma nowe zdolności, ale nie chcemy zdradzać, jakie.;Nein, aber er wird eine andere offensive Fähigkeit bekommen, um das Fehlen von PSI-Angriffen auszugleichen. Die anderen Gruppenmitglieder werden auch neue Fähigkeiten haben, aber wir wollen noch nicht verraten welche das sind.;Нет, но он получит другую атакующую способность, которая компенсирует у него отсутствие психоатак. У остальных членов команды также будут новые способности, о которых мы говорить пока что не будем.;Ні, але він отримає іншу атакувальну здібність, яка зкомпенсує його відсутніть ПСИ атак. Інші члени команди також отримають нові здібності, але ми не хочемо поки що про них розповідати.;
SITE_FAQ_Q10;Will Encore have Rhythm combos?;Est-ce qu’il y aura des combos rythmiques dans MOTHER: Encore ?;MOTHER: Encore avrà le combo ritmiche di MOTHER 3?;MOTHER：ENCOREにリズムバトルはありますか？;리듬 콤보가 나오나요?;¿Encore tendrá combos rítmicos?;Encore terá combos musicais?;Czy Encore będzie miał rytmiczne combosy?;Wird es in Encore Rhythmus-Kombinationen geben?;Будет ли у MOTHER: Encore механика ритм-комбо?;Чи буде у MOTHER: Encore механіка ритм-комбо?;
SITE_FAQ_A10;Nope, Mother Encore’s battle themes were not made with rhythm combos in mind.;Non, les thèmes de combat du jeu n’ont pas été composés dans cette perspective.;No, le musiche di battaglia di MOTHER: Encore non sono state composte contemplando le combo ritmiche.;いいえ、MOTHER：ENCOREにはありません。;아니요, 이 작품의 배틀 테마는 리듬 콤보를 염두하고 만든 것이 아닙니다.;No, los temas de batalla de Mother Encore no se hicieron con los combos rítmicos en mente.;Não, as músicas de batalha de MOTHER Encore não foram feitas com esse propósito em mente.;Nie, motywy bitewne Mother Encore nie zostały stworzone z myślą o rytmicznych combosach.;Nein, die Kampfthemen von Mother Encore wurden nicht mit Blick auf Rhythmuskombinationen entwickelt.;Не-а, музыка из битв MOTHER: Encore написана без учёта этой механики.;Ні, музика з битв у MOTHER: Encore написана без урахування цієї механіки.;
SITE_FAQ_Q11;Will this be playable on the GBA? Is this a romhack of Mother 3?;Est-ce qu’il sera jouable sur GBA ? Est-ce que c’est un romhack de Mother 3 ?;Sarà giocabile sul GBA? È una hack ROM di MOTHER 3?;これはGBA用ソフトですか？;GBA에서 실행되나요? MOTHER 3의 개조 롬인가요?;¿Se podrá jugar en GBA? ¿Es un romhack de Mother 3?;O jogo estará disponível no GBA? É uma romhack de MOTHER 3?;Będzie to grywalne na GBA? Czy to romhack Mother 3?;Wird das Spiel auf dem GBA spielbar sein? Ist es ein Romhack von Mother 3?;Получится ли в неё сыграть на Gameboy Advance? Это ромхак на Mother 3?;Чи вийде зіграти у це на Gameboy Advance? Це ромхак Mother 3?;
SITE_FAQ_A11;No, the game is being developed using Godot and will be released on pc. Besides, Mother 3 rom hacking isn’t nearly advanced enough considering Mother Encore’s ambition.;Non, le jeu est développé à l’aide de Godot et sortira sur PC. Par ailleurs, l’état de l’art en matière de romhacking de Mother 3 n’est pas assez avancé pour nous permettre de concrétiser nos ambitions.;No, il gioco è sviluppato su Godot e sarà pubblicato per computer. Oltre questo, il ROM hacking di MOTHER 3 non è sufficientemente avanzato da soddisfare le ambizioni di MOTHER: Encore.;いいえ、このゲームはPC用であり、Godotで開発されています。GBAでは機能しにくいものです。;아니요, 이 작품은 Godot으로 개발되고 있으며 PC로 출시될 예정입니다. 게다가 우리의 야망을 고려한다면 개조 롬이 좋은 방법은 아닐 겁니다.;No, el juego se está desarrollando con Godot y saldrá en PC. Además, la escena de romhacking de Mother 3 no es lo suficientemente avanzada tomando en cuenta la ambición de Mother Encore.;Não, o jogo está sendo desenvolvido usando Godot e será lançado para computadores. Além disso, romhacks de MOTHER 3 não são avançadas o suficiente, considerando a ambição de MOTHER: Encore.;Nie, gra jest tworzona przy użyciu silnika Godot i zostanie wydana na PC. Poza tym, romhacking Mother 3 nie jest zbytnio zaawansowany, biorąc pod uwagę ambicje Mother Encore.;Nein, das Spiel wird mit Godot entwickelt und wird auf dem PC veröffentlicht werden. Außerdem ist das Hacken der Mother 3-Rom nicht annähernd fortschrittlich genug, wenn man die Ambitionen von Mother Encore bedenkt.;Нет, игра разрабатывается на движке Godot и будет выпущена на ПК. К тому же, если учитывать амбициозность проекта MOTHER: Encore, ромхакинг Mother 3 ещё не настолько продвинут.;Ні, гра розробляється на движку Godot і буде випущена на ПК. До того ж ромхакінг Mother 3 ще не настільки просунутий, враховуючи амбітність проекту MOTHER: Encore.;
